County-Level Results For 1820

county,state,population
Ste Genevieve,Missouri,4962
Steuben,New York,21989
Stewart,Tennessee,8397
Stokes,North Carolina,14033
Strafford,New Hampshire,51117
Suffolk,New York,24272
Suffolk,Massachusetts,43940
Sullivan,New York,8900
Sullivan,Tennessee,7015
Sullivan,Indiana,3498
Sumner,Tennessee,19211
Sumter,South Carolina,25369
Surry,Virginia,6594
Surry,North Carolina,12320
Susquehanna,Pennsylvania,9960
Sussex,Virginia,11884
Sussex,Delaware,24057
Sussex,New Jersey,32752
Switzerland,Indiana,3934
Talbot,Maryland,14389
Tattnall,Georgia,2644
Tazewell,Virginia,3916
Telfair,Georgia,2104
Tioga,Pennsylvania,4021
Tioga,New York,16971
Todd,Kentucky,5089
Tolland,Connecticut,14330
Tompkins,New York,20681
Trigg,Kentucky,3874
Trumbull,Ohio,15546
Tuscaloosa,Alabama,8229
Tuscarawas,Ohio,8328
Twiggs,Georgia,10640
Tyler,Virginia,2314
Tyrrell,North Carolina,4319
Ulster,New York,30934
Union,Pennsylvania,18619
Union,South Carolina,14126
Union,Kentucky,3470
Union,Illinois,2362
Union,Ohio,1996
Vanderburgh,Indiana,1798
Venango,Pennsylvania,4915
Vigo,Indiana,3390
Wabash,Indiana,147
Wake,North Carolina,20102
Walton,Georgia,4192
Warren,Georgia,10630
Warren,Tennessee,10348
Warren,New York,9453
Warren,North Carolina,11158
Warren,Pennsylvania,1976
Warren,Mississippi,2693
Warren,Kentucky,11776
Warren,Ohio,17837
Warrick,Indiana,1749
Warwick,Virginia,1608
Washington,Vermont,14113
Washington,Missouri,2769
Washington,North Carolina,3986
Washington,Georgia,10627
Washington,Rhode Island,15687
Washington,Pennsylvania,40038
Washington,Alabama,4118
Washington,Tennessee,9557
Washington,Maryland,23075
Washington,Virginia,12444
Washington,Louisiana,2517
Washington,Illinois,1517
Washington,New York,38831
Washington,Indiana,9039
Washington,Kentucky,15947
Washington,Maine,12744
Washington,Ohio,10425
Wayne,Indiana,12119
Wayne,North Carolina,9040
Wayne,Ohio,11933
Wayne,Missouri,1443
Wayne,Mississippi,3323
Wayne,Kentucky,7951
Wayne,Tennessee,2459
Wayne,Pennsylvania,4127
Wayne,Illinois,1114
Wayne,Georgia,1010
West Baton Rouge,Louisiana,2335
West Feliciana,Louisiana,12732
Westchester,New York,32638
Westmoreland,Virginia,6901
Westmoreland,Pennsylvania,30540
White,Illinois,4828
White,Tennessee,8701
Whitley,Kentucky,2340
Wilcox,Alabama,2917
Wilkes,Georgia,17607
Wilkes,North Carolina,9967
Wilkinson,Mississippi,9718
Wilkinson,Georgia,6992
Williamsburg,Virginia,1402
Williamsburg,South Carolina,8716
Williamson,Tennessee,20640
Wilson,Tennessee,18730
Windham,Vermont,28457
Windham,Connecticut,31684
Windsor,Vermont,38233
Wood,Ohio,733
Wood,Virginia,5860
Woodford,Kentucky,12207
Worcester,Massachusetts,73625
Worcester,Maryland,17421
Wythe,Virginia,9692
York,South Carolina,14936
York,Maine,46283
York,Virginia,4384
York,Pennsylvania,38759
